NOC,Year,Predicted_Gold_Pct
FRA,2024,0.1790577390914107
USA,2024,0.16324711754152021
CHN,2024,0.13321754020621132
GBR,2024,0.09778279413195413
JPN,2024,0.07765692925716898
AUS,2024,0.05449709421854885
GER,2024,0.05237692391071323
ROC,2024,0.049711006185119325
ITA,2024,0.03950674677240473
CAN,2024,0.03727496107121282
NED,2024,0.03602896120657301
KOR,2024,0.031118838012411484
HUN,2024,0.02686943736134871
NZL,2024,0.025662623515030087
POL,2024,0.02334863017751639
CUB,2024,0.02147515393476679
ESP,2024,0.0198931943188095
BRA,2024,0.019663526954969066
UKR,2024,0.0173651125537505
CZE,2024,0.015801212966865305
JAM,2024,0.013203166381844314
DEN,2024,0.012404528359508124
NOR,2024,0.011903367970404114
SUI,2024,0.011184541054836624
SRB,2024,0.009562914561993017
ETH,2024,0.009385307752096162
IRI,2024,0.00903955450849651
CRO,2024,0.008925080001715314
KEN,2024,0.008922745291661798
KAZ,2024,0.008634626752831165
UZB,2024,0.008577489157348385
BAH,2024,0.008215121776035096
BEL,2024,0.007180150623650418
SWE,2024,0.007156400851320428
GRE,2024,0.006788665739517203
GEO,2024,0.006693107367860527
RSA,2024,0.006687074622831957
SLO,2024,0.006572480820240972
UGA,2024,0.006099098023079421
ROU,2024,0.005976167249358471
COL,2024,0.003929385769805756
TUR,2024,0.0038993258073810036
AZE,2024,0.003747614008366208
KOS,2024,0.003615832628919155
EOR,2024,0.0034573288413561895
HKG,2024,0.0032115871385248857
TPE,2024,0.0031683974167867933
TUN,2024,0.002873620200927501
BUL,2024,0.00272725459535643
ARG,2024,0.0025519408645168565
LBN,2024,0.002499396373141077
IND,2024,0.002471219718969792
POR,2024,0.0024397020383829827
KUW,2024,0.002308424614523198
NGR,2024,0.002222010011952563
ECU,2024,0.0021500406788816768
LTU,2024,0.0020739238261980857
BRN,2024,0.001979333967121541
MAR,2024,0.001973360335478438
SKN,2024,0.0015267620327971947
RHO,2024,0.0013404203144015891
NFL,2024,0.0013404203144015891
GDR,2024,0.0013404203144015891
SAA,2024,0.0013404203144015891
SCG,2024,0.0013404203144015891
FRG,2024,0.0013404203144015891
NBO,2024,0.0013404203144015891
AHO,2024,0.0013404203144015891
MAL,2024,0.0013404203144015891
EUN,2024,0.0013404203144015891
YUG,2024,0.0013404203144015891
UAR,2024,0.0013404203144015891
UNK,2024,0.0013404203144015891
VNM,2024,0.0013404203144015891
WIF,2024,0.0013404203144015891
ANZ,2024,0.0013404203144015891
TCH,2024,0.0013404203144015891
YMD,2024,0.0013404203144015891
YAR,2024,0.0013404203144015891
BOH,2024,0.0013404203144015891
CRT,2024,0.0013404203144015891
AIN,2024,0.0013404203144015891
BLR,2024,0.0012844578285281924
PRK,2024,0.0012764060539828775
SMR,2024,0.0012423094506118877
SWZ,2024,0.0012316172260590347
CHA,2024,0.0012280389689302185
ANT,2024,0.0012081235923821947
ERI,2024,0.0011739231114821298
SOM,2024,0.0011334647252108031
IRL,2024,0.0010473969512058683
GEQ,2024,0.0010319725320146666
SVK,2024,0.0010220587716515618
SSD,2024,0.0010041710120764604
GUY,2024,0.0009654133560664736
SGP,2024,0.0009430179944672321
ISR,2024,0.0009337510174827124
LBR,2024,0.0009034958451051124
DMA,2024,0.0008629529689568758
MTN,2024,0.0008629529689568758
OMA,2024,0.0008584033047144869
MKD,2024,0.0008144640552020161
IOA,2024,0.0007473404402494701
SLE,2024,0.0007279870167778966
BHU,2024,0.0007163682353701125
TUV,2024,0.0006858928816201176
AFG,2024,0.0006093535803659211
GRN,2024,0.000609115415391148
KIR,2024,0.0005831907165294963
MDV,2024,0.0005481656985371103
NAM,2024,0.0005414920129693168
IVB,2024,0.0004897390476123276
SOL,2024,0.00047535903530051583
ALB,2024,0.00044651912445218666
TLS,2024,0.00042051064150454894
KSA,2024,0.00039509388210198
ISL,2024,0.00038843076146910906
COM,2024,0.00038190736638334805
VIN,2024,0.00038190736638334805
BUR,2024,0.0003621175269877177
TTO,2024,0.00035984283573515553
STP,2024,0.00035598306732783367
QAT,2024,0.00035537831264156926
SUD,2024,0.0003544675468558885
BRU,2024,0.00034494274736392725
PAK,2024,0.000303765039669353
LIE,2024,0.0002817763127703687
BIZ,2024,0.00028041517318721154
LAT,2024,0.00027660570472353005
NRU,2024,0.00023987229703897406
MAW,2024,0.00017771300809658972
MON,2024,0.00015647742645240065
BER,2024,0.0001104015250906463
KGZ,2024,0.00010597113199208334
GUI,2024,6.988132686761017e-05
PHI,2024,4.757550929278395e-05
DJI,2024,7.054788937017973e-06
GBS,2024,-2.469291685180605e-05
ASA,2024,-3.161086632852677e-05
GAM,2024,-5.419547303613624e-05
COD,2024,-6.387465341688419e-05
FIJ,2024,-7.369614314042122e-05
GUM,2024,-7.409794715600333e-05
CAY,2024,-7.848571964207476e-05
ROT,2024,-7.859492048209373e-05
RWA,2024,-9.832120996539247e-05
YEM,2024,-0.00010083927243630629
TOG,2024,-0.00011351824850199324
MOZ,2024,-0.00016463721748047246
VIE,2024,-0.00016920881734556678
LCA,2024,-0.00020063042938631669
LES,2024,-0.0002242752307518303
MLT,2024,-0.0002627897183287032
CMR,2024,-0.0002757682329299644
NCA,2024,-0.0003077948616270927
JOR,2024,-0.00031014640723966806
CPV,2024,-0.00033395772546351756
BOT,2024,-0.00034558566500208967
UAE,2024,-0.0003777406420881393
TGA,2024,-0.0004660126695018871
TAN,2024,-0.0004669854670675518
FSM,2024,-0.00047860424847533545
TJK,2024,-0.00048624779176563177
MHL,2024,-0.0005011888551829449
BDI,2024,-0.0005274444530719508
LUX,2024,-0.0005403114248037945
EST,2024,-0.0005502104274116102
PLE,2024,-0.0005749669255331134
CIV,2024,-0.0006297110307061102
ISV,2024,-0.0006328820988105669
EGY,2024,-0.000728414351917726
GHA,2024,-0.0007755357511045162
BEN,2024,-0.0007831682251559823
LAO,2024,-0.0008104536637946556
TKM,2024,-0.000819801183174239
MAD,2024,-0.0008228940750794325
BIH,2024,-0.000841170795525677
SUR,2024,-0.0008454786817870402
VAN,2024,-0.0009194079198258818
MLI,2024,-0.0009210465759276632
ANG,2024,-0.0010093598114492616
IRQ,2024,-0.0010288408939601928
ARU,2024,-0.0010503402890620064
SYR,2024,-0.0010597084165161795
VEN,2024,-0.0011080864916875295
CAF,2024,-0.0011270307580048752
ZAM,2024,-0.0011460748644805197
CAM,2024,-0.0011592945450932327
INA,2024,-0.001172092867743513
BOL,2024,-0.001180026947866045
PLW,2024,-0.0011951365893104055
GAB,2024,-0.0011988101441786497
CRC,2024,-0.0012127850125061568
NEP,2024,-0.0012556572221510114
SEN,2024,-0.0012646287954161612
SRI,2024,-0.0012806133272930658
AND,2024,-0.00129775135730879
COK,2024,-0.001390234832312499
SAM,2024,-0.0013924519498581568
BAR,2024,-0.0014028393137141054
MNE,2024,-0.001418721695188101
CGO,2024,-0.001452783853724467
DOM,2024,-0.001565407252652624
BAN,2024,-0.0015681119458740463
NIG,2024,-0.00157111247486712
ALG,2024,-0.001618840052086479
MYA,2024,-0.0018821663739611479
SEY,2024,-0.0019379861748706892
PNG,2024,-0.0019424484420208412
LBA,2024,-0.0020091541820055035
PER,2024,-0.002030889630851242
MGL,2024,-0.0020712267863547606
HON,2024,-0.0021209232195435026
HAI,2024,-0.0021658877146673054
ESA,2024,-0.0022220609172116388
ARM,2024,-0.002226047358999954
CYP,2024,-0.002274029917725605
PAR,2024,-0.0023184235942694184
PAN,2024,-0.002373788069364919
MRI,2024,-0.0023939914884100414
AUT,2024,-0.0024970605458408974
THA,2024,-0.00253205344785796
URU,2024,-0.0026660438899794208
MDA,2024,-0.0029849079676742994
PUR,2024,-0.003044262080303402
ZIM,2024,-0.003076778945291475
CHI,2024,-0.0035397719093909616
LIB,2024,-0.0039332505856594716
MAS,2024,-0.004014378031910439
GUA,2024,-0.004127440281665546
FIN,2024,-0.005608079705111613
MEX,2024,-0.008033806636508238
